Stock,Fusion_Model,R2,RMSE,MSE,MAE
HDFCBANK.NS,GARCH_pred+RandomForest,0.6636,0.0012,2e-06,0.0008
HDFCBANK.NS,GARCH_pred+XGBoost,0.6274,0.0013,2e-06,0.0009
HDFCBANK.NS,GARCH_pred+CatBoost,0.2466,0.0019,3e-06,0.0014
HDFCBANK.NS,GARCH_pred+AdaBoost,0.3336,0.0017,3e-06,0.0013
HDFCBANK.NS,GARCH_pred+KNN,-17.7165,0.0092,8.5e-05,0.0084
HDFCBANK.NS,GJR_pred+RandomForest,0.6727,0.0012,1e-06,0.0008
HDFCBANK.NS,GJR_pred+XGBoost,0.4746,0.0015,2e-06,0.0012
HDFCBANK.NS,GJR_pred+CatBoost,0.1597,0.002,4e-06,0.0016
HDFCBANK.NS,GJR_pred+AdaBoost,0.2206,0.0019,4e-06,0.0014
HDFCBANK.NS,GJR_pred+KNN,-17.7165,0.0092,8.5e-05,0.0084
HDFCBANK.NS,EGARCH_pred+RandomForest,0.6931,0.0012,1e-06,0.0008
HDFCBANK.NS,EGARCH_pred+XGBoost,0.5596,0.0014,2e-06,0.001
HDFCBANK.NS,EGARCH_pred+CatBoost,0.4447,0.0016,3e-06,0.0012
HDFCBANK.NS,EGARCH_pred+AdaBoost,0.3574,0.0017,3e-06,0.0012
HDFCBANK.NS,EGARCH_pred+KNN,-17.7165,0.0092,8.5e-05,0.0084
ICICIBANK.NS,GARCH_pred+RandomForest,-0.7053,0.0026,7e-06,0.0022
ICICIBANK.NS,GARCH_pred+XGBoost,-1.3631,0.0031,9e-06,0.0026
ICICIBANK.NS,GARCH_pred+CatBoost,-2.1615,0.0035,1.3e-05,0.0031
ICICIBANK.NS,GARCH_pred+AdaBoost,-4.2685,0.0046,2.1e-05,0.0043
ICICIBANK.NS,GARCH_pred+KNN,-2.6543,0.0038,1.4e-05,0.0034
ICICIBANK.NS,GJR_pred+RandomForest,-0.6269,0.0025,6e-06,0.0022
ICICIBANK.NS,GJR_pred+XGBoost,-1.3584,0.0031,9e-06,0.0026
ICICIBANK.NS,GJR_pred+CatBoost,-1.5713,0.0032,1e-05,0.0028
ICICIBANK.NS,GJR_pred+AdaBoost,-7.1132,0.0057,3.2e-05,0.0053
ICICIBANK.NS,GJR_pred+KNN,-2.6543,0.0038,1.4e-05,0.0034
ICICIBANK.NS,EGARCH_pred+RandomForest,-0.6831,0.0026,7e-06,0.0022
ICICIBANK.NS,EGARCH_pred+XGBoost,-1.2213,0.003,9e-06,0.0025
ICICIBANK.NS,EGARCH_pred+CatBoost,-2.28,0.0036,1.3e-05,0.0031
ICICIBANK.NS,EGARCH_pred+AdaBoost,-4.0641,0.0045,2e-05,0.0041
ICICIBANK.NS,EGARCH_pred+KNN,-2.6543,0.0038,1.4e-05,0.0034
SBIN.NS,GARCH_pred+RandomForest,0.7398,0.0016,3e-06,0.0012
SBIN.NS,GARCH_pred+XGBoost,0.5056,0.0022,5e-06,0.0018
SBIN.NS,GARCH_pred+CatBoost,0.4416,0.0023,5e-06,0.002
