Stock,Model,R2,RMSE,MSE,MAE
HDFCBANK.NS,KNN,-2.0136,0.0077,6e-05,0.0068
HDFCBANK.NS,AdaBoost,0.869,0.0016,3e-06,0.0011
HDFCBANK.NS,CatBoost,0.8649,0.0016,3e-06,0.0012
HDFCBANK.NS,XGBoost,0.8966,0.0014,2e-06,0.0009
HDFCBANK.NS,RandomForest,0.9185,0.0013,2e-06,0.0008
ICICIBANK.NS,KNN,-11.1402,0.0153,0.000234,0.0144
ICICIBANK.NS,AdaBoost,-0.0277,0.0045,2e-05,0.0037
ICICIBANK.NS,CatBoost,0.6083,0.0027,8e-06,0.0022
ICICIBANK.NS,XGBoost,0.1282,0.0041,1.7e-05,0.0028
ICICIBANK.NS,RandomForest,0.608,0.0027,8e-06,0.0019
SBIN.NS,KNN,-0.3261,0.0042,1.7e-05,0.0034
SBIN.NS,AdaBoost,0.345,0.0029,9e-06,0.0025
SBIN.NS,CatBoost,0.7158,0.0019,4e-06,0.0014
SBIN.NS,XGBoost,0.5728,0.0024,6e-06,0.0013
SBIN.NS,RandomForest,0.4707,0.0026,7e-06,0.0015
KOTAKBANK.NS,KNN,-0.9131,0.0056,3.1e-05,0.0044
KOTAKBANK.NS,AdaBoost,0.692,0.0022,5e-06,0.0018
KOTAKBANK.NS,CatBoost,0.898,0.0013,2e-06,0.0009
KOTAKBANK.NS,XGBoost,0.8798,0.0014,2e-06,0.001
KOTAKBANK.NS,RandomForest,0.8918,0.0013,2e-06,0.0009
AXISBANK.NS,KNN,-3.163,0.0089,7.9e-05,0.008
AXISBANK.NS,AdaBoost,0.5088,0.003,9e-06,0.0026
AXISBANK.NS,CatBoost,0.8767,0.0015,2e-06,0.0011
AXISBANK.NS,XGBoost,0.8674,0.0016,3e-06,0.0011
AXISBANK.NS,RandomForest,0.8625,0.0016,3e-06,0.0012
PNB.NS,KNN,-1.1367,0.009,8.2e-05,0.0075
PNB.NS,AdaBoost,0.4622,0.0045,2.1e-05,0.0028
PNB.NS,CatBoost,0.7261,0.0032,1e-05,0.0021
PNB.NS,XGBoost,0.6857,0.0035,1.2e-05,0.0022
PNB.NS,RandomForest,0.722,0.0033,1.1e-05,0.0019
INDUSINDBK.NS,KNN,-7.6979,0.0164,0.00027,0.0146
INDUSINDBK.NS,AdaBoost,0.8756,0.002,4e-06,0.0014
INDUSINDBK.NS,CatBoost,0.9058,0.0017,3e-06,0.0013
INDUSINDBK.NS,XGBoost,0.9159,0.0016,3e-06,0.0011
INDUSINDBK.NS,RandomForest,0.9119,0.0017,3e-06,0.0011
BANDHANBNK.NS,KNN,-3.2783,0.0063,4e-05,0.0058
BANDHANBNK.NS,AdaBoost,-0.0988,0.0032,1e-05,0.0027
BANDHANBNK.NS,CatBoost,-0.0917,0.0032,1e-05,0.0025
BANDHANBNK.NS,XGBoost,0.6509,0.0018,3e-06,0.0014
BANDHANBNK.NS,RandomForest,0.7088,0.0017,3e-06,0.0012
LICHSGFIN.NS,KNN,-0.1571,0.0057,3.2e-05,0.0041
LICHSGFIN.NS,AdaBoost,0.8632,0.002,4e-06,0.0014
LICHSGFIN.NS,CatBoost,0.8593,0.002,4e-06,0.0015
LICHSGFIN.NS,XGBoost,0.8548,0.002,4e-06,0.0014
LICHSGFIN.NS,RandomForest,0.8786,0.0018,3e-06,0.0012
HDFCLIFE.NS,KNN,-0.3792,0.0056,3.2e-05,0.005
HDFCLIFE.NS,AdaBoost,0.8552,0.0018,3e-06,0.0011
HDFCLIFE.NS,CatBoost,0.8184,0.002,4e-06,0.0014
HDFCLIFE.NS,XGBoost,0.8748,0.0017,3e-06,0.0011
HDFCLIFE.NS,RandomForest,0.8745,0.0017,3e-06,0.001
SBILIFE.NS,KNN,-2.7521,0.0062,3.9e-05,0.0059
SBILIFE.NS,AdaBoost,0.1704,0.0029,9e-06,0.0027
SBILIFE.NS,CatBoost,0.7239,0.0017,3e-06,0.0012
SBILIFE.NS,XGBoost,0.797,0.0014,2e-06,0.001
SBILIFE.NS,RandomForest,0.8386,0.0013,2e-06,0.0009
UTIAMC.NS,KNN,-19.0613,0.0081,6.5e-05,0.0079
UTIAMC.NS,AdaBoost,0.4779,0.0013,2e-06,0.001
UTIAMC.NS,CatBoost,0.1953,0.0016,3e-06,0.0012
UTIAMC.NS,XGBoost,-0.8279,0.0024,6e-06,0.0019
UTIAMC.NS,RandomForest,-0.0113,0.0018,3e-06,0.0014
