Profit,Annualized Return,Max Drawdown,Stock,Model,Category
-79215.47,-18.56,80.57,HDFCBANK.NS,GARCH_pred,TS
-76494.3,-17.24,76.93,HDFCBANK.NS,KNN,ML
-76494.3,-17.24,76.93,HDFCBANK.NS,AdaBoost,ML
-76494.3,-17.24,76.93,HDFCBANK.NS,CatBoost,ML
-76494.3,-17.24,76.93,HDFCBANK.NS,XGBoost,ML
-76494.3,-17.24,76.93,HDFCBANK.NS,RandomForest,ML
-79215.47,-18.56,80.57,HDFCBANK.NS,GARCH_pred+RandomForest,Fusion
-79215.47,-18.56,80.57,HDFCBANK.NS,GARCH_pred+XGBoost,Fusion
-79215.47,-18.56,80.57,HDFCBANK.NS,GARCH_pred+CatBoost,Fusion
-79215.47,-18.56,80.57,HDFCBANK.NS,GARCH_pred+AdaBoost,Fusion
-79215.47,-18.56,80.57,HDFCBANK.NS,GARCH_pred+KNN,Fusion
-62842.21,-12.14,69.76,ICICIBANK.NS,GARCH_pred,TS
-70105.86,-14.6,73.92,ICICIBANK.NS,KNN,ML
-70105.86,-14.6,73.92,ICICIBANK.NS,AdaBoost,ML
-70105.86,-14.6,73.92,ICICIBANK.NS,CatBoost,ML
-70105.86,-14.6,73.92,ICICIBANK.NS,XGBoost,ML
-70105.86,-14.6,73.92,ICICIBANK.NS,RandomForest,ML
-62842.21,-12.14,69.76,ICICIBANK.NS,GARCH_pred+RandomForest,Fusion
-62842.21,-12.14,69.76,ICICIBANK.NS,GARCH_pred+XGBoost,Fusion
-62842.21,-12.14,69.76,ICICIBANK.NS,GARCH_pred+CatBoost,Fusion
-62842.21,-12.14,69.76,ICICIBANK.NS,GARCH_pred+AdaBoost,Fusion
-62842.21,-12.14,69.76,ICICIBANK.NS,GARCH_pred+KNN,Fusion
-34743.93,-5.43,66.84,SBIN.NS,GARCH_pred,TS
-78627.98,-18.27,81.22,SBIN.NS,KNN,ML
-78627.98,-18.27,81.22,SBIN.NS,AdaBoost,ML
-78627.98,-18.27,81.22,SBIN.NS,CatBoost,ML
-78627.98,-18.27,81.22,SBIN.NS,XGBoost,ML
-78627.98,-18.27,81.22,SBIN.NS,RandomForest,ML
-34743.93,-5.43,66.84,SBIN.NS,GARCH_pred+RandomForest,Fusion
-34743.93,-5.43,66.84,SBIN.NS,GARCH_pred+XGBoost,Fusion
-34743.93,-5.43,66.84,SBIN.NS,GARCH_pred+CatBoost,Fusion
-34743.93,-5.43,66.84,SBIN.NS,GARCH_pred+AdaBoost,Fusion
-34743.93,-5.43,66.84,SBIN.NS,GARCH_pred+KNN,Fusion
-61815.02,-11.82,69.65,KOTAKBANK.NS,GARCH_pred,TS
-72894.09,-15.69,76.5,KOTAKBANK.NS,KNN,ML
-72894.09,-15.69,76.5,KOTAKBANK.NS,AdaBoost,ML
-72894.09,-15.69,76.5,KOTAKBANK.NS,CatBoost,ML
-72894.09,-15.69,76.5,KOTAKBANK.NS,XGBoost,ML
-72894.09,-15.69,76.5,KOTAKBANK.NS,RandomForest,ML
-61815.02,-11.82,69.65,KOTAKBANK.NS,GARCH_pred+RandomForest,Fusion
-61815.02,-11.82,69.65,KOTAKBANK.NS,GARCH_pred+XGBoost,Fusion
-61815.02,-11.82,69.65,KOTAKBANK.NS,GARCH_pred+CatBoost,Fusion
-61815.02,-11.82,69.65,KOTAKBANK.NS,GARCH_pred+AdaBoost,Fusion
-61815.02,-11.82,69.65,KOTAKBANK.NS,GARCH_pred+KNN,Fusion
-65422.08,-12.96,77.28,AXISBANK.NS,GARCH_pred,TS
-71414.46,-15.1,73.78,AXISBANK.NS,KNN,ML
-71414.46,-15.1,73.78,AXISBANK.NS,AdaBoost,ML
-71414.46,-15.1,73.78,AXISBANK.NS,CatBoost,ML
-71414.46,-15.1,73.78,AXISBANK.NS,XGBoost,ML
-71414.46,-15.1,73.78,AXISBANK.NS,RandomForest,ML
-65422.08,-12.96,77.28,AXISBANK.NS,GARCH_pred+RandomForest,Fusion
-65422.08,-12.96,77.28,AXISBANK.NS,GARCH_pred+XGBoost,Fusion
-65422.08,-12.96,77.28,AXISBANK.NS,GARCH_pred+CatBoost,Fusion
-65422.08,-12.96,77.28,AXISBANK.NS,GARCH_pred+AdaBoost,Fusion
-65422.08,-12.96,77.28,AXISBANK.NS,GARCH_pred+KNN,Fusion
-64597.78,-12.69,71.14,PNB.NS,GARCH_pred,TS
-87084.97,-23.47,87.08,PNB.NS,KNN,ML
-87084.97,-23.47,87.08,PNB.NS,AdaBoost,ML
-87084.97,-23.47,87.08,PNB.NS,CatBoost,ML
-87084.97,-23.47,87.08,PNB.NS,XGBoost,ML
-87084.97,-23.47,87.08,PNB.NS,RandomForest,ML
-64597.78,-12.69,71.14,PNB.NS,GARCH_pred+RandomForest,Fusion
-64597.78,-12.69,71.14,PNB.NS,GARCH_pred+XGBoost,Fusion
-64597.78,-12.69,71.14,PNB.NS,GARCH_pred+CatBoost,Fusion
