Stock,Model,R2,RMSE,MSE,MAE
HDFCBANK.NS,GARCH,0.673,0.0043,1.9e-05,0.0026
HDFCBANK.NS,GJR,0.5902,0.0049,2.4e-05,0.0027
HDFCBANK.NS,EGARCH,0.6276,0.0046,2.1e-05,0.0026
ICICIBANK.NS,GARCH,0.7662,0.0048,2.3e-05,0.0035
ICICIBANK.NS,GJR,0.7145,0.0053,2.8e-05,0.0036
ICICIBANK.NS,EGARCH,-9.7854,0.0324,0.001049,0.0054
SBIN.NS,GARCH,0.3347,0.0064,4.1e-05,0.0042
SBIN.NS,GJR,0.3382,0.0064,4.1e-05,0.0041
SBIN.NS,EGARCH,0.3033,0.0066,4.3e-05,0.0041
KOTAKBANK.NS,GARCH,0.5702,0.0052,2.7e-05,0.0031
KOTAKBANK.NS,GJR,0.4921,0.0057,3.2e-05,0.0032
KOTAKBANK.NS,EGARCH,-1.8216,0.0133,0.000178,0.0045
AXISBANK.NS,GARCH,0.7944,0.0052,2.8e-05,0.0033
AXISBANK.NS,GJR,0.6335,0.007,4.9e-05,0.0037
AXISBANK.NS,EGARCH,-2.7289908184700826e+54,1.9121642898076908e+25,3.656372271215751e+50,5.060123302612824e+23
PNB.NS,GARCH,-0.3923,0.0078,6.1e-05,0.0054
PNB.NS,GJR,-0.1339,0.0071,5e-05,0.0051
PNB.NS,EGARCH,-9.0306,0.021,0.00044,0.0081
INDUSINDBK.NS,GARCH,0.6981,0.0096,9.2e-05,0.0052
INDUSINDBK.NS,GJR,0.6906,0.0097,9.4e-05,0.0054
INDUSINDBK.NS,EGARCH,-inf,3.5480822283362495e+150,1.2588887499035524e+301,9.389221239455489e+148
BANDHANBNK.NS,GARCH,0.0313,0.0046,2.1e-05,0.0038
BANDHANBNK.NS,GJR,-0.0646,0.0048,2.3e-05,0.004
BANDHANBNK.NS,EGARCH,-7.7342,0.0139,0.000193,0.007
LICHSGFIN.NS,GARCH,0.8003,0.0042,1.8e-05,0.0033
LICHSGFIN.NS,GJR,0.7598,0.0046,2.1e-05,0.0036
LICHSGFIN.NS,EGARCH,-5.081180339461027e+31,66958676969591.5,4.483464421518103e+27,1771914492138.2888
HDFCLIFE.NS,GARCH,-0.1147,0.0053,2.8e-05,0.0037
HDFCLIFE.NS,GJR,-0.042,0.0051,2.6e-05,0.0035
HDFCLIFE.NS,EGARCH,-1.2272,0.0074,5.5e-05,0.0041
SBILIFE.NS,GARCH,0.3573,0.0032,1e-05,0.0026
SBILIFE.NS,GJR,0.3092,0.0033,1.1e-05,0.0027
SBILIFE.NS,EGARCH,0.5022,0.0028,8e-06,0.0024
