Stock,Fusion_Model,R2,RMSE,MSE,MAE
601398.SS,GARCH_pred+RandomForest,0.8882,0.0014,2e-06,0.0009
601398.SS,GARCH_pred+XGBoost,0.8544,0.0016,3e-06,0.001
601398.SS,GARCH_pred+CatBoost,0.8656,0.0016,2e-06,0.0011
601398.SS,GARCH_pred+AdaBoost,0.7935,0.0019,4e-06,0.0014
601398.SS,GARCH_pred+KNN,0.0676,0.0041,1.7e-05,0.003
601398.SS,GJR_pred+RandomForest,0.8914,0.0014,2e-06,0.0009
601398.SS,GJR_pred+XGBoost,0.858,0.0016,3e-06,0.001
601398.SS,GJR_pred+CatBoost,0.8725,0.0015,2e-06,0.001
601398.SS,GJR_pred+AdaBoost,0.7744,0.002,4e-06,0.0013
601398.SS,GJR_pred+KNN,0.0676,0.0041,1.7e-05,0.003
601398.SS,EGARCH_pred+RandomForest,0.8775,0.0015,2e-06,0.001
601398.SS,EGARCH_pred+XGBoost,0.8554,0.0016,3e-06,0.001
601398.SS,EGARCH_pred+CatBoost,0.8676,0.0016,2e-06,0.001
601398.SS,EGARCH_pred+AdaBoost,0.7766,0.002,4e-06,0.0014
601398.SS,EGARCH_pred+KNN,0.0676,0.0041,1.7e-05,0.003
601988.SS,GARCH_pred+RandomForest,0.4404,0.0049,2.4e-05,0.0027
601988.SS,GARCH_pred+XGBoost,0.4245,0.005,2.5e-05,0.0026
601988.SS,GARCH_pred+CatBoost,0.4325,0.0049,2.4e-05,0.0025
601988.SS,GARCH_pred+AdaBoost,0.4768,0.0047,2.2e-05,0.0028
601988.SS,GARCH_pred+KNN,-0.5464,0.0081,6.6e-05,0.0054
601988.SS,GJR_pred+RandomForest,0.4249,0.005,2.5e-05,0.0028
601988.SS,GJR_pred+XGBoost,0.4337,0.0049,2.4e-05,0.0026
601988.SS,GJR_pred+CatBoost,0.4155,0.005,2.5e-05,0.0025
601988.SS,GJR_pred+AdaBoost,0.4767,0.0047,2.2e-05,0.0028
601988.SS,GJR_pred+KNN,-0.5464,0.0081,6.6e-05,0.0054
601988.SS,EGARCH_pred+RandomForest,0.3949,0.0051,2.6e-05,0.0028
601988.SS,EGARCH_pred+XGBoost,0.432,0.0049,2.4e-05,0.0026
601988.SS,EGARCH_pred+CatBoost,0.4405,0.0049,2.4e-05,0.0025
601988.SS,EGARCH_pred+AdaBoost,0.4658,0.0048,2.3e-05,0.0029
601988.SS,EGARCH_pred+KNN,-0.5464,0.0081,6.6e-05,0.0054
601939.SS,GARCH_pred+RandomForest,0.9182,0.0011,1e-06,0.0008
601939.SS,GARCH_pred+XGBoost,0.898,0.0013,2e-06,0.0009
601939.SS,GARCH_pred+CatBoost,0.925,0.0011,1e-06,0.0009
601939.SS,GARCH_pred+AdaBoost,0.942,0.001,1e-06,0.0007
601939.SS,GARCH_pred+KNN,-1.1241,0.0058,3.3e-05,0.0045
601939.SS,GJR_pred+RandomForest,0.9361,0.001,1e-06,0.0008
601939.SS,GJR_pred+XGBoost,0.8927,0.0013,2e-06,0.0009
601939.SS,GJR_pred+CatBoost,0.929,0.0011,1e-06,0.0008
601939.SS,GJR_pred+AdaBoost,0.9454,0.0009,1e-06,0.0007
601939.SS,GJR_pred+KNN,-1.1241,0.0058,3.3e-05,0.0045
601939.SS,EGARCH_pred+RandomForest,0.9299,0.001,1e-06,0.0008
601939.SS,EGARCH_pred+XGBoost,0.903,0.0012,2e-06,0.0009
601939.SS,EGARCH_pred+CatBoost,0.931,0.001,1e-06,0.0008
601939.SS,EGARCH_pred+AdaBoost,0.9423,0.0009,1e-06,0.0008
601939.SS,EGARCH_pred+KNN,-1.1241,0.0058,3.3e-05,0.0045
601288.SS,GARCH_pred+RandomForest,0.7107,0.0028,8e-06,0.0016
601288.SS,GARCH_pred+XGBoost,0.6985,0.0029,8e-06,0.0018
601288.SS,GARCH_pred+CatBoost,0.6316,0.0032,1e-05,0.0016
601288.SS,GARCH_pred+AdaBoost,0.7463,0.0027,7e-06,0.0016
601288.SS,GARCH_pred+KNN,-0.7412,0.007,4.9e-05,0.005
601288.SS,GJR_pred+RandomForest,0.7245,0.0028,8e-06,0.0016
601288.SS,GJR_pred+XGBoost,0.6968,0.0029,8e-06,0.0019
601288.SS,GJR_pred+CatBoost,0.6127,0.0033,1.1e-05,0.0017
601288.SS,GJR_pred+AdaBoost,0.7379,0.0027,7e-06,0.0017
601288.SS,GJR_pred+KNN,-0.7412,0.007,4.9e-05,0.005
601288.SS,EGARCH_pred+RandomForest,0.733,0.0027,7e-06,0.0016
601288.SS,EGARCH_pred+XGBoost,0.6827,0.003,9e-06,0.0019
601288.SS,EGARCH_pred+CatBoost,0.6264,0.0032,1e-05,0.0017
601288.SS,EGARCH_pred+AdaBoost,0.7356,0.0027,7e-06,0.0017
601288.SS,EGARCH_pred+KNN,-0.7412,0.007,4.9e-05,0.005
600036.SS,GARCH_pred+RandomForest,0.8724,0.0018,3e-06,0.0014
600036.SS,GARCH_pred+XGBoost,0.6749,0.003,9e-06,0.0023
600036.SS,GARCH_pred+CatBoost,0.779,0.0024,6e-06,0.0019
600036.SS,GARCH_pred+AdaBoost,0.7782,0.0024,6e-06,0.0019
600036.SS,GARCH_pred+KNN,-1.2963,0.0078,6.1e-05,0.0062
600036.SS,GJR_pred+RandomForest,0.8636,0.0019,4e-06,0.0015
600036.SS,GJR_pred+XGBoost,0.7699,0.0025,6e-06,0.0019
600036.SS,GJR_pred+CatBoost,0.7378,0.0026,7e-06,0.0021
600036.SS,GJR_pred+AdaBoost,0.8051,0.0023,5e-06,0.0018
600036.SS,GJR_pred+KNN,-1.2963,0.0078,6.1e-05,0.0062
600036.SS,EGARCH_pred+RandomForest,0.8722,0.0018,3e-06,0.0014
600036.SS,EGARCH_pred+XGBoost,0.7513,0.0026,7e-06,0.002
600036.SS,EGARCH_pred+CatBoost,0.7816,0.0024,6e-06,0.0019
600036.SS,EGARCH_pred+AdaBoost,0.7613,0.0025,6e-06,0.0019
600036.SS,EGARCH_pred+KNN,-1.2963,0.0078,6.1e-05,0.0062
601328.SS,GARCH_pred+RandomForest,0.7058,0.0024,6e-06,0.0013
601328.SS,GARCH_pred+XGBoost,0.7275,0.0023,5e-06,0.0014
601328.SS,GARCH_pred+CatBoost,0.7088,0.0023,6e-06,0.0014
601328.SS,GARCH_pred+AdaBoost,0.7297,0.0023,5e-06,0.0015
601328.SS,GARCH_pred+KNN,0.0619,0.0042,1.8e-05,0.0033
601328.SS,GJR_pred+RandomForest,0.7021,0.0024,6e-06,0.0013
601328.SS,GJR_pred+XGBoost,0.7357,0.0022,5e-06,0.0013
601328.SS,GJR_pred+CatBoost,0.7029,0.0024,6e-06,0.0014
601328.SS,GJR_pred+AdaBoost,0.6798,0.0025,6e-06,0.0015
601328.SS,GJR_pred+KNN,0.0619,0.0042,1.8e-05,0.0033
601328.SS,EGARCH_pred+RandomForest,0.6779,0.0025,6e-06,0.0014
601328.SS,EGARCH_pred+XGBoost,0.7324,0.0023,5e-06,0.0013
601328.SS,EGARCH_pred+CatBoost,0.7075,0.0024,6e-06,0.0014
601328.SS,EGARCH_pred+AdaBoost,0.6863,0.0024,6e-06,0.0016
601328.SS,EGARCH_pred+KNN,0.0619,0.0042,1.8e-05,0.0033
601318.SS,GARCH_pred+RandomForest,0.9002,0.0016,3e-06,0.001
601318.SS,GARCH_pred+XGBoost,0.9005,0.0016,2e-06,0.001
601318.SS,GARCH_pred+CatBoost,0.8903,0.0017,3e-06,0.0011
601318.SS,GARCH_pred+AdaBoost,0.8846,0.0017,3e-06,0.0012
601318.SS,GARCH_pred+KNN,-0.431,0.006,3.6e-05,0.0046
601318.SS,GJR_pred+RandomForest,0.9016,0.0016,2e-06,0.001
601318.SS,GJR_pred+XGBoost,0.8804,0.0017,3e-06,0.0011
601318.SS,GJR_pred+CatBoost,0.8892,0.0017,3e-06,0.0011
601318.SS,GJR_pred+AdaBoost,0.8672,0.0018,3e-06,0.0012
601318.SS,GJR_pred+KNN,-0.431,0.006,3.6e-05,0.0046
601318.SS,EGARCH_pred+RandomForest,0.9009,0.0016,2e-06,0.001
601318.SS,EGARCH_pred+XGBoost,0.887,0.0017,3e-06,0.0011
601318.SS,EGARCH_pred+CatBoost,0.8986,0.0016,3e-06,0.0011
601318.SS,EGARCH_pred+AdaBoost,0.8799,0.0017,3e-06,0.0011
601318.SS,EGARCH_pred+KNN,-0.431,0.006,3.6e-05,0.0046
601628.SS,GARCH_pred+RandomForest,0.8507,0.0018,3e-06,0.0013
601628.SS,GARCH_pred+XGBoost,0.8205,0.0019,4e-06,0.0015
601628.SS,GARCH_pred+CatBoost,0.8384,0.0018,3e-06,0.0014
601628.SS,GARCH_pred+AdaBoost,0.7277,0.0024,6e-06,0.0019
601628.SS,GARCH_pred+KNN,-0.1489,0.0049,2.4e-05,0.0041
601628.SS,GJR_pred+RandomForest,0.8438,0.0018,3e-06,0.0013
601628.SS,GJR_pred+XGBoost,0.8124,0.002,4e-06,0.0014
601628.SS,GJR_pred+CatBoost,0.8454,0.0018,3e-06,0.0014
601628.SS,GJR_pred+AdaBoost,0.7735,0.0022,5e-06,0.0018
601628.SS,GJR_pred+KNN,-0.1489,0.0049,2.4e-05,0.0041
601628.SS,EGARCH_pred+RandomForest,0.8526,0.0018,3e-06,0.0013
601628.SS,EGARCH_pred+XGBoost,0.8419,0.0018,3e-06,0.0013
601628.SS,EGARCH_pred+CatBoost,0.8782,0.0016,3e-06,0.0012
601628.SS,EGARCH_pred+AdaBoost,0.8073,0.002,4e-06,0.0016
601628.SS,EGARCH_pred+KNN,-0.1489,0.0049,2.4e-05,0.0041
601601.SS,GARCH_pred+RandomForest,0.8769,0.002,4e-06,0.0014
601601.SS,GARCH_pred+XGBoost,0.8699,0.002,4e-06,0.0015
601601.SS,GARCH_pred+CatBoost,0.8519,0.0021,5e-06,0.0016
601601.SS,GARCH_pred+AdaBoost,0.8392,0.0022,5e-06,0.0017
601601.SS,GARCH_pred+KNN,-0.7167,0.0073,5.4e-05,0.0059
601601.SS,GJR_pred+RandomForest,0.8713,0.002,4e-06,0.0015
601601.SS,GJR_pred+XGBoost,0.8673,0.002,4e-06,0.0015
601601.SS,GJR_pred+CatBoost,0.8592,0.0021,4e-06,0.0016
601601.SS,GJR_pred+AdaBoost,0.8605,0.0021,4e-06,0.0015
601601.SS,GJR_pred+KNN,-0.7167,0.0073,5.4e-05,0.0059
601601.SS,EGARCH_pred+RandomForest,0.885,0.0019,4e-06,0.0013
601601.SS,EGARCH_pred+XGBoost,0.8776,0.002,4e-06,0.0014
601601.SS,EGARCH_pred+CatBoost,0.8623,0.0021,4e-06,0.0015
601601.SS,EGARCH_pred+AdaBoost,0.8654,0.002,4e-06,0.0015
601601.SS,EGARCH_pred+KNN,-0.7167,0.0073,5.4e-05,0.0059
600016.SS,GARCH_pred+RandomForest,0.6378,0.0035,1.2e-05,0.0018
600016.SS,GARCH_pred+XGBoost,0.4717,0.0043,1.8e-05,0.0022
600016.SS,GARCH_pred+CatBoost,0.7179,0.0031,1e-05,0.0015
600016.SS,GARCH_pred+AdaBoost,0.7497,0.0029,9e-06,0.0018
600016.SS,GARCH_pred+KNN,0.0723,0.0056,3.2e-05,0.0042
600016.SS,GJR_pred+RandomForest,0.6428,0.0035,1.2e-05,0.0018
600016.SS,GJR_pred+XGBoost,0.4761,0.0042,1.8e-05,0.0022
600016.SS,GJR_pred+CatBoost,0.7202,0.0031,1e-05,0.0015
600016.SS,GJR_pred+AdaBoost,0.7278,0.0031,9e-06,0.0019
600016.SS,GJR_pred+KNN,0.0723,0.0056,3.2e-05,0.0042
600016.SS,EGARCH_pred+RandomForest,0.6021,0.0037,1.4e-05,0.0018
600016.SS,EGARCH_pred+XGBoost,0.4773,0.0042,1.8e-05,0.0022
600016.SS,EGARCH_pred+CatBoost,0.7216,0.0031,1e-05,0.0015
600016.SS,EGARCH_pred+AdaBoost,0.7287,0.0031,9e-06,0.0018
600016.SS,EGARCH_pred+KNN,0.0723,0.0056,3.2e-05,0.0042
601688.SS,GARCH_pred+RandomForest,0.8898,0.0014,2e-06,0.001
601688.SS,GARCH_pred+XGBoost,0.8791,0.0015,2e-06,0.0011
601688.SS,GARCH_pred+CatBoost,0.8351,0.0017,3e-06,0.0013
