Stock,Model,R2,RMSE,MSE,MAE
601398.SS,KNN,-2.4385,0.0064,4.1e-05,0.0055
601398.SS,AdaBoost,0.7848,0.0016,3e-06,0.0013
601398.SS,CatBoost,0.9492,0.0008,1e-06,0.0005
601398.SS,XGBoost,0.9284,0.0009,1e-06,0.0006
601398.SS,RandomForest,0.9438,0.0008,1e-06,0.0005
601988.SS,KNN,0.0187,0.0055,3e-05,0.0042
601988.SS,AdaBoost,0.8451,0.0022,5e-06,0.0013
601988.SS,CatBoost,0.8192,0.0023,5e-06,0.0011
601988.SS,XGBoost,0.8392,0.0022,5e-06,0.0012
601988.SS,RandomForest,0.8686,0.002,4e-06,0.001
601939.SS,KNN,-2.6311,0.0068,4.7e-05,0.0059
601939.SS,AdaBoost,0.7301,0.0019,3e-06,0.0014
601939.SS,CatBoost,0.8568,0.0014,2e-06,0.001
601939.SS,XGBoost,0.8888,0.0012,1e-06,0.0008
601939.SS,RandomForest,0.9101,0.0011,1e-06,0.0007
601288.SS,KNN,0.1446,0.004,1.6e-05,0.0029
601288.SS,AdaBoost,0.8428,0.0017,3e-06,0.0013
601288.SS,CatBoost,0.9122,0.0013,2e-06,0.0007
601288.SS,XGBoost,0.9622,0.0008,1e-06,0.0005
601288.SS,RandomForest,0.9438,0.001,1e-06,0.0007
600036.SS,KNN,-0.041,0.0059,3.5e-05,0.0047
600036.SS,AdaBoost,0.8552,0.0022,5e-06,0.0015
600036.SS,CatBoost,0.8661,0.0021,4e-06,0.0015
600036.SS,XGBoost,0.7946,0.0026,7e-06,0.0017
600036.SS,RandomForest,0.9036,0.0018,3e-06,0.0012
601328.SS,KNN,-0.498,0.0049,2.4e-05,0.0042
601328.SS,AdaBoost,0.8732,0.0014,2e-06,0.0011
601328.SS,CatBoost,0.8857,0.0013,2e-06,0.0009
601328.SS,XGBoost,0.8492,0.0015,2e-06,0.001
601328.SS,RandomForest,0.9082,0.0012,1e-06,0.0008
601318.SS,KNN,-0.3016,0.0053,2.8e-05,0.0042
601318.SS,AdaBoost,0.8891,0.0015,2e-06,0.0011
601318.SS,CatBoost,0.8925,0.0015,2e-06,0.0011
601318.SS,XGBoost,0.8959,0.0015,2e-06,0.001
601318.SS,RandomForest,0.9045,0.0014,2e-06,0.001
601628.SS,KNN,-4.2431,0.0108,0.000117,0.0098
601628.SS,AdaBoost,0.7522,0.0023,6e-06,0.0018
601628.SS,CatBoost,0.8545,0.0018,3e-06,0.0013
601628.SS,XGBoost,0.8487,0.0018,3e-06,0.0013
601628.SS,RandomForest,0.8501,0.0018,3e-06,0.0013
601601.SS,KNN,-0.1174,0.0061,3.7e-05,0.0049
601601.SS,AdaBoost,0.8918,0.0019,4e-06,0.0013
601601.SS,CatBoost,0.8941,0.0019,3e-06,0.0013
601601.SS,XGBoost,0.9091,0.0017,3e-06,0.0012
601601.SS,RandomForest,0.9124,0.0017,3e-06,0.0011
600016.SS,KNN,-0.1284,0.005,2.5e-05,0.0036
600016.SS,AdaBoost,0.802,0.0021,4e-06,0.0012
600016.SS,CatBoost,0.8303,0.0019,4e-06,0.0009
600016.SS,XGBoost,0.8581,0.0018,3e-06,0.0008
600016.SS,RandomForest,0.8537,0.0018,3e-06,0.0008
601688.SS,KNN,-7.7639,0.0125,0.000156,0.0117
601688.SS,AdaBoost,0.8032,0.0019,4e-06,0.0016
601688.SS,CatBoost,0.9063,0.0013,2e-06,0.001
601688.SS,XGBoost,0.8841,0.0014,2e-06,0.0011
601688.SS,RandomForest,0.8978,0.0013,2e-06,0.001
000776.SZ,KNN,-1.013,0.0132,0.000175,0.0113
000776.SZ,AdaBoost,0.8318,0.0038,1.5e-05,0.0027
000776.SZ,CatBoost,0.878,0.0033,1.1e-05,0.0025
000776.SZ,XGBoost,0.8418,0.0037,1.4e-05,0.0025
000776.SZ,RandomForest,0.8788,0.0032,1.1e-05,0.0021
