Profit,Annualized Return,Max Drawdown,Stock,Model,Category
-36266.19,-5.81,37.43,601398.SS,GARCH_pred,TS
-28821.16,-4.42,32.55,601398.SS,KNN,ML
-28821.16,-4.42,32.55,601398.SS,AdaBoost,ML
-28821.16,-4.42,32.55,601398.SS,CatBoost,ML
-28821.16,-4.42,32.55,601398.SS,XGBoost,ML
-28821.16,-4.42,32.55,601398.SS,RandomForest,ML
-36266.19,-5.81,37.43,601398.SS,GARCH_pred+RandomForest,Fusion
-36266.19,-5.81,37.43,601398.SS,GARCH_pred+XGBoost,Fusion
-36266.19,-5.81,37.43,601398.SS,GARCH_pred+CatBoost,Fusion
-36266.19,-5.81,37.43,601398.SS,GARCH_pred+AdaBoost,Fusion
-36266.19,-5.81,37.43,601398.SS,GARCH_pred+KNN,Fusion
-7562.91,-1.04,23.8,601988.SS,GARCH_pred,TS
-37976.1,-6.15,39.17,601988.SS,KNN,ML
-37976.1,-6.15,39.17,601988.SS,AdaBoost,ML
-37976.1,-6.15,39.17,601988.SS,CatBoost,ML
-37976.1,-6.15,39.17,601988.SS,XGBoost,ML
-37976.1,-6.15,39.17,601988.SS,RandomForest,ML
-7562.91,-1.04,23.8,601988.SS,GARCH_pred+RandomForest,Fusion
-7562.91,-1.04,23.8,601988.SS,GARCH_pred+XGBoost,Fusion
-7562.91,-1.04,23.8,601988.SS,GARCH_pred+CatBoost,Fusion
-7562.91,-1.04,23.8,601988.SS,GARCH_pred+AdaBoost,Fusion
-7562.91,-1.04,23.8,601988.SS,GARCH_pred+KNN,Fusion
-55022.64,-10.08,58.07,601939.SS,GARCH_pred,TS
-36338.48,-5.83,37.44,601939.SS,KNN,ML
-36338.48,-5.83,37.44,601939.SS,AdaBoost,ML
-36338.48,-5.83,37.44,601939.SS,CatBoost,ML
-36338.48,-5.83,37.44,601939.SS,XGBoost,ML
-36338.48,-5.83,37.44,601939.SS,RandomForest,ML
-55022.64,-10.08,58.07,601939.SS,GARCH_pred+RandomForest,Fusion
-55022.64,-10.08,58.07,601939.SS,GARCH_pred+XGBoost,Fusion
-55022.64,-10.08,58.07,601939.SS,GARCH_pred+CatBoost,Fusion
-55022.64,-10.08,58.07,601939.SS,GARCH_pred+AdaBoost,Fusion
-55022.64,-10.08,58.07,601939.SS,GARCH_pred+KNN,Fusion
-27884.01,-4.25,41.94,601288.SS,GARCH_pred,TS
-31907.84,-4.98,34.01,601288.SS,KNN,ML
-31907.84,-4.98,34.01,601288.SS,AdaBoost,ML
-31907.84,-4.98,34.01,601288.SS,CatBoost,ML
-31907.84,-4.98,34.01,601288.SS,XGBoost,ML
-31907.84,-4.98,34.01,601288.SS,RandomForest,ML
-27884.01,-4.25,41.94,601288.SS,GARCH_pred+RandomForest,Fusion
-27884.01,-4.25,41.94,601288.SS,GARCH_pred+XGBoost,Fusion
-27884.01,-4.25,41.94,601288.SS,GARCH_pred+CatBoost,Fusion
-27884.01,-4.25,41.94,601288.SS,GARCH_pred+AdaBoost,Fusion
-27884.01,-4.25,41.94,601288.SS,GARCH_pred+KNN,Fusion
-51026.58,-9.06,67.85,600036.SS,GARCH_pred,TS
-43369.26,-7.28,61.14,600036.SS,KNN,ML
-43369.26,-7.28,61.14,600036.SS,AdaBoost,ML
-43369.26,-7.28,61.14,600036.SS,CatBoost,ML
-43369.26,-7.28,61.14,600036.SS,XGBoost,ML
-43369.26,-7.28,61.14,600036.SS,RandomForest,ML
-51026.58,-9.06,67.85,600036.SS,GARCH_pred+RandomForest,Fusion
-51026.58,-9.06,67.85,600036.SS,GARCH_pred+XGBoost,Fusion
-51026.58,-9.06,67.85,600036.SS,GARCH_pred+CatBoost,Fusion
-51026.58,-9.06,67.85,600036.SS,GARCH_pred+AdaBoost,Fusion
-51026.58,-9.06,67.85,600036.SS,GARCH_pred+KNN,Fusion
-17229.54,-2.48,31.71,601328.SS,GARCH_pred,TS
-35024.79,-5.57,38.85,601328.SS,KNN,ML
-35024.79,-5.57,38.85,601328.SS,AdaBoost,ML
-35024.79,-5.57,38.85,601328.SS,CatBoost,ML
-35024.79,-5.57,38.85,601328.SS,XGBoost,ML
-35024.79,-5.57,38.85,601328.SS,RandomForest,ML
-17229.54,-2.48,31.71,601328.SS,GARCH_pred+RandomForest,Fusion
-17229.54,-2.48,31.71,601328.SS,GARCH_pred+XGBoost,Fusion
-17229.54,-2.48,31.71,601328.SS,GARCH_pred+CatBoost,Fusion
-17229.54,-2.48,31.71,601328.SS,GARCH_pred+AdaBoost,Fusion
-17229.54,-2.48,31.71,601328.SS,GARCH_pred+KNN,Fusion
-34686.26,-5.51,51.38,601318.SS,GARCH_pred,TS
-48448.13,-8.43,61.97,601318.SS,KNN,ML
-48448.13,-8.43,61.97,601318.SS,AdaBoost,ML
-48448.13,-8.43,61.97,601318.SS,CatBoost,ML
-48448.13,-8.43,61.97,601318.SS,XGBoost,ML
-48448.13,-8.43,61.97,601318.SS,RandomForest,ML
-34686.26,-5.51,51.38,601318.SS,GARCH_pred+RandomForest,Fusion
-34686.26,-5.51,51.38,601318.SS,GARCH_pred+XGBoost,Fusion
-34686.26,-5.51,51.38,601318.SS,GARCH_pred+CatBoost,Fusion
-34686.26,-5.51,51.38,601318.SS,GARCH_pred+AdaBoost,Fusion
-34686.26,-5.51,51.38,601318.SS,GARCH_pred+KNN,Fusion
-32909.07,-5.17,56.61,601628.SS,GARCH_pred,TS
-30714.08,-4.76,54.22,601628.SS,KNN,ML
-30714.08,-4.76,54.22,601628.SS,AdaBoost,ML
-30714.08,-4.76,54.22,601628.SS,CatBoost,ML
-30714.08,-4.76,54.22,601628.SS,XGBoost,ML
-30714.08,-4.76,54.22,601628.SS,RandomForest,ML
-32909.07,-5.17,56.61,601628.SS,GARCH_pred+RandomForest,Fusion
-32909.07,-5.17,56.61,601628.SS,GARCH_pred+XGBoost,Fusion
-32909.07,-5.17,56.61,601628.SS,GARCH_pred+CatBoost,Fusion
-32909.07,-5.17,56.61,601628.SS,GARCH_pred+AdaBoost,Fusion
-32909.07,-5.17,56.61,601628.SS,GARCH_pred+KNN,Fusion
-70340.87,-14.92,80.74,601601.SS,GARCH_pred,TS
-44399.95,-7.51,66.32,601601.SS,KNN,ML
-44399.95,-7.51,66.32,601601.SS,AdaBoost,ML
-44399.95,-7.51,66.32,601601.SS,CatBoost,ML
-44399.95,-7.51,66.32,601601.SS,XGBoost,ML
-44399.95,-7.51,66.32,601601.SS,RandomForest,ML
-70340.87,-14.92,80.74,601601.SS,GARCH_pred+RandomForest,Fusion
-70340.87,-14.92,80.74,601601.SS,GARCH_pred+XGBoost,Fusion
-70340.87,-14.92,80.74,601601.SS,GARCH_pred+CatBoost,Fusion
-70340.87,-14.92,80.74,601601.SS,GARCH_pred+AdaBoost,Fusion
-70340.87,-14.92,80.74,601601.SS,GARCH_pred+KNN,Fusion
-7507.5,-1.03,30.23,600016.SS,GARCH_pred,TS
-3917.76,-0.53,20.13,600016.SS,KNN,ML
-3917.76,-0.53,20.13,600016.SS,AdaBoost,ML
-3917.76,-0.53,20.13,600016.SS,CatBoost,ML
-3917.76,-0.53,20.13,600016.SS,XGBoost,ML
-3917.76,-0.53,20.13,600016.SS,RandomForest,ML
-7507.5,-1.03,30.23,600016.SS,GARCH_pred+RandomForest,Fusion
-7507.5,-1.03,30.23,600016.SS,GARCH_pred+XGBoost,Fusion
-7507.5,-1.03,30.23,600016.SS,GARCH_pred+CatBoost,Fusion
-7507.5,-1.03,30.23,600016.SS,GARCH_pred+AdaBoost,Fusion
-7507.5,-1.03,30.23,600016.SS,GARCH_pred+KNN,Fusion
-19760.23,-2.89,48.26,601688.SS,GARCH_pred,TS
-27682.19,-4.22,48.38,601688.SS,KNN,ML
-27682.19,-4.22,48.38,601688.SS,AdaBoost,ML
-27682.19,-4.22,48.38,601688.SS,CatBoost,ML
-27682.19,-4.22,48.38,601688.SS,XGBoost,ML
-27682.19,-4.22,48.38,601688.SS,RandomForest,ML
-19760.23,-2.89,48.26,601688.SS,GARCH_pred+RandomForest,Fusion
-19760.23,-2.89,48.26,601688.SS,GARCH_pred+XGBoost,Fusion
-19760.23,-2.89,48.26,601688.SS,GARCH_pred+CatBoost,Fusion
-19760.23,-2.89,48.26,601688.SS,GARCH_pred+AdaBoost,Fusion
-19760.23,-2.89,48.26,601688.SS,GARCH_pred+KNN,Fusion
-28457.11,-4.36,48.46,000776.SZ,GARCH_pred,TS
-39828.12,-6.53,49.55,000776.SZ,KNN,ML
-39828.12,-6.53,49.55,000776.SZ,AdaBoost,ML
-39828.12,-6.53,49.55,000776.SZ,CatBoost,ML
-39828.12,-6.53,49.55,000776.SZ,XGBoost,ML
-39828.12,-6.53,49.55,000776.SZ,RandomForest,ML
-28457.11,-4.36,48.46,000776.SZ,GARCH_pred+RandomForest,Fusion
-28457.11,-4.36,48.46,000776.SZ,GARCH_pred+XGBoost,Fusion
-28457.11,-4.36,48.46,000776.SZ,GARCH_pred+CatBoost,Fusion
-28457.11,-4.36,48.46,000776.SZ,GARCH_pred+AdaBoost,Fusion
-28457.11,-4.36,48.46,000776.SZ,GARCH_pred+KNN,Fusion
