Stock,Model,R2,RMSE,MSE,MAE
601398.SS,GARCH,0.4657,0.0031,9e-06,0.0022
601398.SS,GJR,0.4465,0.0031,1e-05,0.0022
601398.SS,EGARCH,0.4655,0.0031,9e-06,0.0022
601988.SS,GARCH,0.62,0.0027,7e-06,0.0019
601988.SS,GJR,0.5024,0.0031,9e-06,0.002
601988.SS,EGARCH,0.6404,0.0026,7e-06,0.0018
601939.SS,GARCH,0.522,0.0033,1.1e-05,0.0025
601939.SS,GJR,0.5373,0.0033,1.1e-05,0.0024
601939.SS,EGARCH,0.6009,0.0031,9e-06,0.0024
601288.SS,GARCH,0.6329,0.0025,6e-06,0.0018
601288.SS,GJR,0.6249,0.0026,7e-06,0.0018
601288.SS,EGARCH,-17976199.6745,17.7967,316.721682,0.4818
600036.SS,GARCH,0.4278,0.0038,1.4e-05,0.0029
600036.SS,GJR,0.3218,0.0041,1.7e-05,0.0031
600036.SS,EGARCH,-inf,3.589803495847322e+150,1.2886689138797654e+301,9.6113318494211e+148
601328.SS,GARCH,0.3654,0.0029,8e-06,0.0021
601328.SS,GJR,0.3321,0.003,9e-06,0.0021
601328.SS,EGARCH,0.5002,0.0026,7e-06,0.002
601318.SS,GARCH,0.4595,0.0033,1.1e-05,0.0026
601318.SS,GJR,0.3036,0.0037,1.4e-05,0.0029
601318.SS,EGARCH,-1.0626,0.0064,4.1e-05,0.0028
601628.SS,GARCH,0.5654,0.0049,2.4e-05,0.0034
601628.SS,GJR,0.5378,0.005,2.5e-05,0.0035
601628.SS,EGARCH,-0.101,0.0078,6.1e-05,0.0041
601601.SS,GARCH,0.3668,0.0042,1.8e-05,0.0033
601601.SS,GJR,0.3396,0.0043,1.8e-05,0.0033
601601.SS,EGARCH,-inf,5.076748790081631e+150,2.577337827759531e+301,1.92226636988422e+149
600016.SS,GARCH,0.2916,0.0034,1.2e-05,0.0022
600016.SS,GJR,0.1954,0.0037,1.3e-05,0.0022
600016.SS,EGARCH,0.3379,0.0033,1.1e-05,0.0022
601688.SS,GARCH,0.6142,0.0041,1.7e-05,0.0033
601688.SS,GJR,0.5938,0.0042,1.8e-05,0.0034
601688.SS,EGARCH,-4.953661286185425e+36,1.474201293651504e+16,2.173269454203768e+32,394702324584652.25
000776.SZ,GARCH,0.6584,0.0049,2.4e-05,0.0035
000776.SZ,GJR,0.635,0.005,2.5e-05,0.0036
000776.SZ,EGARCH,-31.1433,0.0472,0.002228,0.0054
