Stock,Fusion_Model,R2,RMSE,MSE,MAE
FM,GARCH_pred+RandomForest,0.665,0.0009,1e-06,0.0006
FM,GARCH_pred+XGBoost,0.7565,0.0008,1e-06,0.0006
FM,GARCH_pred+CatBoost,0.8144,0.0007,0.0,0.0005
FM,GARCH_pred+AdaBoost,0.5784,0.001,1e-06,0.0008
FM,GARCH_pred+KNN,-3.5604,0.0033,1.1e-05,0.0023
FM,GJR_pred+RandomForest,0.595,0.001,1e-06,0.0006
FM,GJR_pred+XGBoost,0.7556,0.0008,1e-06,0.0006
FM,GJR_pred+CatBoost,0.8317,0.0006,0.0,0.0005
FM,GJR_pred+AdaBoost,0.5368,0.0011,1e-06,0.0009
FM,GJR_pred+KNN,-3.5604,0.0033,1.1e-05,0.0023
FM,EGARCH_pred+RandomForest,0.6997,0.0009,1e-06,0.0006
FM,EGARCH_pred+XGBoost,0.7643,0.0008,1e-06,0.0006
FM,EGARCH_pred+CatBoost,0.8233,0.0007,0.0,0.0005
FM,EGARCH_pred+AdaBoost,0.6812,0.0009,1e-06,0.0007
FM,EGARCH_pred+KNN,-3.5604,0.0033,1.1e-05,0.0023
