Stock,Fusion_Model,R2,RMSE,MSE,MAE
JPM,GARCH_pred+RandomForest,0.8409,0.0019,4e-06,0.0013
JPM,GARCH_pred+XGBoost,0.758,0.0023,5e-06,0.0017
JPM,GARCH_pred+CatBoost,0.7518,0.0023,5e-06,0.002
JPM,GARCH_pred+AdaBoost,0.575,0.0031,9e-06,0.0026
JPM,GARCH_pred+KNN,-3.4382,0.0099,9.8e-05,0.0081
JPM,GJR_pred+RandomForest,0.8374,0.0019,4e-06,0.0013
JPM,GJR_pred+XGBoost,0.771,0.0022,5e-06,0.0016
JPM,GJR_pred+CatBoost,0.7033,0.0026,7e-06,0.0022
JPM,GJR_pred+AdaBoost,0.613,0.0029,9e-06,0.0025
JPM,GJR_pred+KNN,-3.4382,0.0099,9.8e-05,0.0081
JPM,EGARCH_pred+RandomForest,0.8498,0.0018,3e-06,0.0013
JPM,EGARCH_pred+XGBoost,0.7867,0.0022,5e-06,0.0016
JPM,EGARCH_pred+CatBoost,0.7406,0.0024,6e-06,0.002
JPM,EGARCH_pred+AdaBoost,0.3536,0.0038,1.4e-05,0.0033
JPM,EGARCH_pred+KNN,-3.4382,0.0099,9.8e-05,0.0081
BAC,GARCH_pred+RandomForest,0.8485,0.0015,2e-06,0.0013
BAC,GARCH_pred+XGBoost,0.5326,0.0027,7e-06,0.0021
BAC,GARCH_pred+CatBoost,0.4801,0.0029,8e-06,0.0023
BAC,GARCH_pred+AdaBoost,0.551,0.0027,7e-06,0.0022
BAC,GARCH_pred+KNN,-38.3875,0.0249,0.000621,0.0204
BAC,GJR_pred+RandomForest,0.8461,0.0016,2e-06,0.0013
BAC,GJR_pred+XGBoost,0.6586,0.0023,5e-06,0.0018
BAC,GJR_pred+CatBoost,0.4565,0.0029,9e-06,0.0023
BAC,GJR_pred+AdaBoost,0.4838,0.0029,8e-06,0.0024
BAC,GJR_pred+KNN,-38.3875,0.0249,0.000621,0.0204
BAC,EGARCH_pred+RandomForest,0.8278,0.0016,3e-06,0.0013
BAC,EGARCH_pred+XGBoost,0.62,0.0024,6e-06,0.0019
BAC,EGARCH_pred+CatBoost,0.5461,0.0027,7e-06,0.0021
BAC,EGARCH_pred+AdaBoost,0.5029,0.0028,8e-06,0.0023
BAC,EGARCH_pred+KNN,-38.3875,0.0249,0.000621,0.0204
WFC,GARCH_pred+RandomForest,0.8548,0.0016,3e-06,0.0013
WFC,GARCH_pred+XGBoost,0.7455,0.0022,5e-06,0.0017
WFC,GARCH_pred+CatBoost,0.7013,0.0023,5e-06,0.0018
WFC,GARCH_pred+AdaBoost,0.4791,0.0031,1e-05,0.0026
WFC,GARCH_pred+KNN,-1.4876,0.0068,4.6e-05,0.006
WFC,GJR_pred+RandomForest,0.888,0.0014,2e-06,0.0011
WFC,GJR_pred+XGBoost,0.8085,0.0019,4e-06,0.0014
WFC,GJR_pred+CatBoost,0.7181,0.0023,5e-06,0.0017
WFC,GJR_pred+AdaBoost,0.4055,0.0033,1.1e-05,0.0028
WFC,GJR_pred+KNN,-1.4876,0.0068,4.6e-05,0.006
WFC,EGARCH_pred+RandomForest,0.891,0.0014,2e-06,0.0011
WFC,EGARCH_pred+XGBoost,0.7983,0.0019,4e-06,0.0015
WFC,EGARCH_pred+CatBoost,0.7472,0.0022,5e-06,0.0016
WFC,EGARCH_pred+AdaBoost,0.6638,0.0025,6e-06,0.0021
WFC,EGARCH_pred+KNN,-1.4876,0.0068,4.6e-05,0.006
GS,GARCH_pred+RandomForest,0.7488,0.0013,2e-06,0.0009
GS,GARCH_pred+XGBoost,0.68,0.0015,2e-06,0.0011
GS,GARCH_pred+CatBoost,0.5401,0.0018,3e-06,0.0014
GS,GARCH_pred+AdaBoost,0.4595,0.0019,4e-06,0.0015
GS,GARCH_pred+KNN,-10.6423,0.0089,7.8e-05,0.0069
GS,GJR_pred+RandomForest,0.7535,0.0013,2e-06,0.0009
GS,GJR_pred+XGBoost,0.642,0.0016,2e-06,0.0012
GS,GJR_pred+CatBoost,0.5166,0.0018,3e-06,0.0014
GS,GJR_pred+AdaBoost,0.3229,0.0021,5e-06,0.0016
GS,GJR_pred+KNN,-10.6423,0.0089,7.8e-05,0.0069
GS,EGARCH_pred+RandomForest,0.779,0.0012,1e-06,0.0009
GS,EGARCH_pred+XGBoost,0.624,0.0016,3e-06,0.0012
GS,EGARCH_pred+CatBoost,0.5344,0.0018,3e-06,0.0014
