Stock,Model,R2,RMSE,MSE,MAE
JPM,GARCH,0.6922,0.0055,3.1e-05,0.0033
JPM,GJR,0.6877,0.0056,3.1e-05,0.0035
JPM,EGARCH,0.7428,0.0051,2.6e-05,0.0032
BAC,GARCH,0.7226,0.0054,3e-05,0.0036
BAC,GJR,0.6754,0.0059,3.5e-05,0.004
BAC,EGARCH,0.7473,0.0052,2.7e-05,0.0035
WFC,GARCH,0.6586,0.0064,4e-05,0.004
WFC,GJR,0.5573,0.0072,5.2e-05,0.0043
WFC,EGARCH,0.5503,0.0073,5.3e-05,0.0043
GS,GARCH,0.7639,0.0044,2e-05,0.0029
GS,GJR,0.7466,0.0046,2.1e-05,0.003
GS,EGARCH,0.157,0.0084,7e-05,0.0039
MS,GARCH,0.5941,0.0064,4.1e-05,0.0035
MS,GJR,0.5313,0.0068,4.7e-05,0.0037
MS,EGARCH,0.6602,0.0058,3.4e-05,0.0033
PNC,GARCH,0.6839,0.0058,3.4e-05,0.0037
PNC,GJR,0.5434,0.007,4.9e-05,0.0043
PNC,EGARCH,0.7194,0.0055,3e-05,0.0036
BMO,GARCH,0.6444,0.006,3.6e-05,0.0027
BMO,GJR,0.6046,0.0063,4e-05,0.003
BMO,EGARCH,-23.3702,0.0494,0.002438,0.0057
STT,GARCH,0.384,0.0079,6.2e-05,0.0048
STT,GJR,0.3471,0.0081,6.6e-05,0.005
STT,EGARCH,-1.9127244002726338e+189,4.39977145944921e+92,1.935798889538383e+185,1.1440527021158815e+91
HSBC,GARCH,0.806,0.003,9e-06,0.0023
HSBC,GJR,0.8021,0.0031,9e-06,0.0024
HSBC,EGARCH,-17.3948,0.0294,0.000866,0.0061
AXP,GARCH,0.6768,0.007,4.9e-05,0.0042
AXP,GJR,0.614,0.0077,5.9e-05,0.0045
AXP,EGARCH,-inf,3.4863717429590415e+150,1.2154787930103264e+301,9.065454989819093e+148
FITB,GARCH,0.631,0.0081,6.6e-05,0.0049
FITB,GJR,0.4964,0.0095,9e-05,0.0055
FITB,EGARCH,0.7327,0.0069,4.8e-05,0.0045
MTB,GARCH,0.6418,0.0067,4.5e-05,0.0042
MTB,GJR,0.6425,0.0067,4.5e-05,0.0043
MTB,EGARCH,0.7108,0.006,3.6e-05,0.0039
