Stock,Fusion_Model,R2,RMSE,MSE,MAE
HSBA.L,GARCH_pred+RandomForest,0.7989,0.0019,3e-06,0.0014
HSBA.L,GARCH_pred+XGBoost,0.6569,0.0024,6e-06,0.0018
HSBA.L,GARCH_pred+CatBoost,0.6906,0.0023,5e-06,0.0018
HSBA.L,GARCH_pred+AdaBoost,0.6953,0.0023,5e-06,0.0019
HSBA.L,GARCH_pred+KNN,-6.5551,0.0114,0.000131,0.01
HSBA.L,GJR_pred+RandomForest,0.8385,0.0017,3e-06,0.0012
HSBA.L,GJR_pred+XGBoost,0.7013,0.0023,5e-06,0.0016
HSBA.L,GJR_pred+CatBoost,0.6944,0.0023,5e-06,0.0018
HSBA.L,GJR_pred+AdaBoost,0.7411,0.0021,4e-06,0.0017
HSBA.L,GJR_pred+KNN,-6.5551,0.0114,0.000131,0.01
HSBA.L,EGARCH_pred+RandomForest,0.8264,0.0017,3e-06,0.0013
HSBA.L,EGARCH_pred+XGBoost,0.6992,0.0023,5e-06,0.0016
HSBA.L,EGARCH_pred+CatBoost,0.6937,0.0023,5e-06,0.0019
HSBA.L,EGARCH_pred+AdaBoost,0.7638,0.002,4e-06,0.0016
HSBA.L,EGARCH_pred+KNN,-6.5551,0.0114,0.000131,0.01
BARC.L,GARCH_pred+RandomForest,0.9193,0.0014,2e-06,0.001
BARC.L,GARCH_pred+XGBoost,0.8787,0.0017,3e-06,0.0013
BARC.L,GARCH_pred+CatBoost,0.8672,0.0018,3e-06,0.0013
BARC.L,GARCH_pred+AdaBoost,0.845,0.0019,4e-06,0.0014
BARC.L,GARCH_pred+KNN,-6.4383,0.0132,0.000175,0.0107
BARC.L,GJR_pred+RandomForest,0.9144,0.0014,2e-06,0.001
BARC.L,GJR_pred+XGBoost,0.8844,0.0016,3e-06,0.0012
BARC.L,GJR_pred+CatBoost,0.8835,0.0017,3e-06,0.0012
BARC.L,GJR_pred+AdaBoost,0.8537,0.0019,3e-06,0.0014
BARC.L,GJR_pred+KNN,-6.4383,0.0132,0.000175,0.0107
BARC.L,EGARCH_pred+RandomForest,0.9162,0.0014,2e-06,0.001
BARC.L,EGARCH_pred+XGBoost,0.8988,0.0015,2e-06,0.0012
BARC.L,EGARCH_pred+CatBoost,0.8804,0.0017,3e-06,0.0012
BARC.L,EGARCH_pred+AdaBoost,0.8269,0.002,4e-06,0.0016
BARC.L,EGARCH_pred+KNN,-6.4383,0.0132,0.000175,0.0107
LLOY.L,GARCH_pred+RandomForest,0.9125,0.0013,2e-06,0.001
LLOY.L,GARCH_pred+XGBoost,0.8534,0.0016,3e-06,0.0013
LLOY.L,GARCH_pred+CatBoost,0.8212,0.0018,3e-06,0.0015
LLOY.L,GARCH_pred+AdaBoost,0.7586,0.0021,4e-06,0.0018
LLOY.L,GARCH_pred+KNN,-3.7275,0.0092,8.5e-05,0.0076
LLOY.L,GJR_pred+RandomForest,0.9086,0.0013,2e-06,0.001
LLOY.L,GJR_pred+XGBoost,0.8567,0.0016,3e-06,0.0013
LLOY.L,GJR_pred+CatBoost,0.8237,0.0018,3e-06,0.0015
LLOY.L,GJR_pred+AdaBoost,0.7022,0.0023,5e-06,0.0019
LLOY.L,GJR_pred+KNN,-3.7275,0.0092,8.5e-05,0.0076
