Stock,Model,R2,RMSE,MSE,MAE
HSBA.L,KNN,-1.9733,0.0078,6e-05,0.0065
HSBA.L,AdaBoost,0.8309,0.0018,3e-06,0.0014
HSBA.L,CatBoost,0.9031,0.0014,2e-06,0.001
HSBA.L,XGBoost,0.8868,0.0015,2e-06,0.001
HSBA.L,RandomForest,0.902,0.0014,2e-06,0.001
BARC.L,KNN,-6.456,0.0151,0.000227,0.0124
BARC.L,AdaBoost,0.8268,0.0023,5e-06,0.0017
BARC.L,CatBoost,0.8365,0.0022,5e-06,0.0017
BARC.L,XGBoost,0.861,0.0021,4e-06,0.0015
BARC.L,RandomForest,0.9131,0.0016,3e-06,0.0011
LLOY.L,KNN,-7.101,0.0171,0.000292,0.0144
LLOY.L,AdaBoost,0.8575,0.0023,5e-06,0.0019
LLOY.L,CatBoost,0.9306,0.0016,2e-06,0.0011
LLOY.L,XGBoost,0.9244,0.0016,3e-06,0.0011
LLOY.L,RandomForest,0.9343,0.0015,2e-06,0.001
STAN.L,KNN,-0.8655,0.0095,9.1e-05,0.0073
STAN.L,AdaBoost,0.7732,0.0033,1.1e-05,0.0023
STAN.L,CatBoost,0.8489,0.0027,7e-06,0.0017
STAN.L,XGBoost,0.8369,0.0028,8e-06,0.0018
STAN.L,RandomForest,0.7956,0.0032,1e-05,0.002
NWG.L,KNN,-1.7518,0.0089,7.9e-05,0.0071
NWG.L,AdaBoost,0.831,0.0022,5e-06,0.0018
NWG.L,CatBoost,0.9149,0.0016,2e-06,0.001
NWG.L,XGBoost,0.9006,0.0017,3e-06,0.0011
NWG.L,RandomForest,0.8835,0.0018,3e-06,0.0011
PRU.L,KNN,-1.08,0.0088,7.8e-05,0.007
PRU.L,AdaBoost,0.8293,0.0025,6e-06,0.0019
PRU.L,CatBoost,0.9009,0.0019,4e-06,0.0013
PRU.L,XGBoost,0.8405,0.0025,6e-06,0.0017
PRU.L,RandomForest,0.9021,0.0019,4e-06,0.0013
LGEN.L,KNN,-15.4235,0.021,0.000443,0.0148
LGEN.L,AdaBoost,0.7361,0.0027,7e-06,0.0023
LGEN.L,CatBoost,0.9399,0.0013,2e-06,0.0009
LGEN.L,XGBoost,0.9454,0.0012,1e-06,0.0008
LGEN.L,RandomForest,0.9355,0.0013,2e-06,0.0009
AV.L,KNN,-1.8193,0.009,8.1e-05,0.0068
AV.L,AdaBoost,0.8386,0.0022,5e-06,0.0015
AV.L,CatBoost,0.8912,0.0018,3e-06,0.0012
AV.L,XGBoost,0.7807,0.0025,6e-06,0.0015
AV.L,RandomForest,0.9089,0.0016,3e-06,0.001
PHNX.L,KNN,-2.0487,0.0067,4.5e-05,0.0049
PHNX.L,AdaBoost,0.7246,0.002,4e-06,0.0016
PHNX.L,CatBoost,0.918,0.0011,1e-06,0.0008
PHNX.L,XGBoost,0.8552,0.0015,2e-06,0.001
PHNX.L,RandomForest,0.8775,0.0013,2e-06,0.0009
LSEG.L,KNN,-0.6699,0.0066,4.3e-05,0.0057
LSEG.L,AdaBoost,0.6697,0.0029,9e-06,0.0025
LSEG.L,CatBoost,0.8426,0.002,4e-06,0.0016
LSEG.L,XGBoost,0.6715,0.0029,9e-06,0.002
LSEG.L,RandomForest,0.8953,0.0016,3e-06,0.0012
MNG.L,KNN,-12.3093,0.0061,3.8e-05,0.0054
MNG.L,AdaBoost,-0.0432,0.0017,3e-06,0.0013
MNG.L,CatBoost,-0.5855,0.0021,5e-06,0.0016
MNG.L,XGBoost,-1.4303,0.0026,7e-06,0.002
MNG.L,RandomForest,-0.4215,0.002,4e-06,0.0014
HL.L,KNN,-0.205,0.0072,5.2e-05,0.0055
HL.L,AdaBoost,0.7749,0.0031,1e-05,0.0022
HL.L,CatBoost,0.8758,0.0023,5e-06,0.0016
HL.L,XGBoost,0.8656,0.0024,6e-06,0.0015
HL.L,RandomForest,0.8727,0.0023,5e-06,0.0014
