Profit,Annualized Return,Max Drawdown,Stock,Model,Category
11220.88,1.36,39.65,HSBA.L,GARCH_pred,TS
-25012.2,-3.58,41.23,HSBA.L,KNN,ML
-25012.2,-3.58,41.23,HSBA.L,AdaBoost,ML
-25012.2,-3.58,41.23,HSBA.L,CatBoost,ML
-25012.2,-3.58,41.23,HSBA.L,XGBoost,ML
-25012.2,-3.58,41.23,HSBA.L,RandomForest,ML
11220.88,1.36,39.65,HSBA.L,GARCH_pred+RandomForest,Fusion
11220.88,1.36,39.65,HSBA.L,GARCH_pred+XGBoost,Fusion
11220.88,1.36,39.65,HSBA.L,GARCH_pred+CatBoost,Fusion
11220.88,1.36,39.65,HSBA.L,GARCH_pred+AdaBoost,Fusion
11220.88,1.36,39.65,HSBA.L,GARCH_pred+KNN,Fusion
-63582.89,-12.02,72.2,BARC.L,GARCH_pred,TS
-38409.74,-5.96,41.87,BARC.L,KNN,ML
-38409.74,-5.96,41.87,BARC.L,AdaBoost,ML
-38409.74,-5.96,41.87,BARC.L,CatBoost,ML
-38409.74,-5.96,41.87,BARC.L,XGBoost,ML
-38409.74,-5.96,41.87,BARC.L,RandomForest,ML
-63582.89,-12.02,72.2,BARC.L,GARCH_pred+RandomForest,Fusion
-63582.89,-12.02,72.2,BARC.L,GARCH_pred+XGBoost,Fusion
-63582.89,-12.02,72.2,BARC.L,GARCH_pred+CatBoost,Fusion
-63582.89,-12.02,72.2,BARC.L,GARCH_pred+AdaBoost,Fusion
-63582.89,-12.02,72.2,BARC.L,GARCH_pred+KNN,Fusion
-50977.04,-8.64,62.69,LLOY.L,GARCH_pred,TS
7374.38,0.91,36.91,LLOY.L,KNN,ML
7374.38,0.91,36.91,LLOY.L,AdaBoost,ML
7374.38,0.91,36.91,LLOY.L,CatBoost,ML
7374.38,0.91,36.91,LLOY.L,XGBoost,ML
7374.38,0.91,36.91,LLOY.L,RandomForest,ML
-50977.04,-8.64,62.69,LLOY.L,GARCH_pred+RandomForest,Fusion
-50977.04,-8.64,62.69,LLOY.L,GARCH_pred+XGBoost,Fusion
-50977.04,-8.64,62.69,LLOY.L,GARCH_pred+CatBoost,Fusion
-50977.04,-8.64,62.69,LLOY.L,GARCH_pred+AdaBoost,Fusion
-50977.04,-8.64,62.69,LLOY.L,GARCH_pred+KNN,Fusion
-63591.93,-12.02,70.35,STAN.L,GARCH_pred,TS
-43700.12,-7.02,46.23,STAN.L,KNN,ML
-43700.12,-7.02,46.23,STAN.L,AdaBoost,ML
-43700.12,-7.02,46.23,STAN.L,CatBoost,ML
-43700.12,-7.02,46.23,STAN.L,XGBoost,ML
-43700.12,-7.02,46.23,STAN.L,RandomForest,ML
-63591.93,-12.02,70.35,STAN.L,GARCH_pred+RandomForest,Fusion
-63591.93,-12.02,70.35,STAN.L,GARCH_pred+XGBoost,Fusion
-63591.93,-12.02,70.35,STAN.L,GARCH_pred+CatBoost,Fusion
-63591.93,-12.02,70.35,STAN.L,GARCH_pred+AdaBoost,Fusion
-63591.93,-12.02,70.35,STAN.L,GARCH_pred+KNN,Fusion
-45629.68,-7.43,73.99,NWG.L,GARCH_pred,TS
-53404.19,-9.23,66.84,NWG.L,KNN,ML
-53404.19,-9.23,66.84,NWG.L,AdaBoost,ML
-53404.19,-9.23,66.84,NWG.L,CatBoost,ML
-53404.19,-9.23,66.84,NWG.L,XGBoost,ML
-53404.19,-9.23,66.84,NWG.L,RandomForest,ML
-45629.68,-7.43,73.99,NWG.L,GARCH_pred+RandomForest,Fusion
-45629.68,-7.43,73.99,NWG.L,GARCH_pred+XGBoost,Fusion
-45629.68,-7.43,73.99,NWG.L,GARCH_pred+CatBoost,Fusion
-45629.68,-7.43,73.99,NWG.L,GARCH_pred+AdaBoost,Fusion
-45629.68,-7.43,73.99,NWG.L,GARCH_pred+KNN,Fusion
89548.58,8.44,42.89,PRU.L,GARCH_pred,TS
57504.23,5.93,30.67,PRU.L,KNN,ML
57504.23,5.93,30.67,PRU.L,AdaBoost,ML
57504.23,5.93,30.67,PRU.L,CatBoost,ML
57504.23,5.93,30.67,PRU.L,XGBoost,ML
57504.23,5.93,30.67,PRU.L,RandomForest,ML
89548.58,8.44,42.89,PRU.L,GARCH_pred+RandomForest,Fusion
89548.58,8.44,42.89,PRU.L,GARCH_pred+XGBoost,Fusion
89548.58,8.44,42.89,PRU.L,GARCH_pred+CatBoost,Fusion
89548.58,8.44,42.89,PRU.L,GARCH_pred+AdaBoost,Fusion
89548.58,8.44,42.89,PRU.L,GARCH_pred+KNN,Fusion
-39124.37,-6.1,66.42,LGEN.L,GARCH_pred,TS
-17508.59,-2.41,31.7,LGEN.L,KNN,ML
-17508.59,-2.41,31.7,LGEN.L,AdaBoost,ML
-17508.59,-2.41,31.7,LGEN.L,CatBoost,ML
-17508.59,-2.41,31.7,LGEN.L,XGBoost,ML
-17508.59,-2.41,31.7,LGEN.L,RandomForest,ML
-39124.37,-6.1,66.42,LGEN.L,GARCH_pred+RandomForest,Fusion
-39124.37,-6.1,66.42,LGEN.L,GARCH_pred+XGBoost,Fusion
-39124.37,-6.1,66.42,LGEN.L,GARCH_pred+CatBoost,Fusion
-39124.37,-6.1,66.42,LGEN.L,GARCH_pred+AdaBoost,Fusion
-39124.37,-6.1,66.42,LGEN.L,GARCH_pred+KNN,Fusion
-36622.65,-5.62,57.71,AV.L,GARCH_pred,TS
-29516.07,-4.34,46.8,AV.L,KNN,ML
-29516.07,-4.34,46.8,AV.L,AdaBoost,ML
-29516.07,-4.34,46.8,AV.L,CatBoost,ML
-29516.07,-4.34,46.8,AV.L,XGBoost,ML
-29516.07,-4.34,46.8,AV.L,RandomForest,ML
-36622.65,-5.62,57.71,AV.L,GARCH_pred+RandomForest,Fusion
-36622.65,-5.62,57.71,AV.L,GARCH_pred+XGBoost,Fusion
-36622.65,-5.62,57.71,AV.L,GARCH_pred+CatBoost,Fusion
-36622.65,-5.62,57.71,AV.L,GARCH_pred+AdaBoost,Fusion
-36622.65,-5.62,57.71,AV.L,GARCH_pred+KNN,Fusion
-75310.25,-16.25,76.94,PHNX.L,GARCH_pred,TS
-34907.53,-5.3,38.72,PHNX.L,KNN,ML
-34907.53,-5.3,38.72,PHNX.L,AdaBoost,ML
-34907.53,-5.3,38.72,PHNX.L,CatBoost,ML
-34907.53,-5.3,38.72,PHNX.L,XGBoost,ML
-34907.53,-5.3,38.72,PHNX.L,RandomForest,ML
-75310.25,-16.25,76.94,PHNX.L,GARCH_pred+RandomForest,Fusion
-75310.25,-16.25,76.94,PHNX.L,GARCH_pred+XGBoost,Fusion
-75310.25,-16.25,76.94,PHNX.L,GARCH_pred+CatBoost,Fusion
-75310.25,-16.25,76.94,PHNX.L,GARCH_pred+AdaBoost,Fusion
-75310.25,-16.25,76.94,PHNX.L,GARCH_pred+KNN,Fusion
-47237.41,-7.78,73.35,LSEG.L,GARCH_pred,TS
-48577.44,-8.09,64.68,LSEG.L,KNN,ML
-48577.44,-8.09,64.68,LSEG.L,AdaBoost,ML
-48577.44,-8.09,64.68,LSEG.L,CatBoost,ML
-48577.44,-8.09,64.68,LSEG.L,XGBoost,ML
-48577.44,-8.09,64.68,LSEG.L,RandomForest,ML
-47237.41,-7.78,73.35,LSEG.L,GARCH_pred+RandomForest,Fusion
-47237.41,-7.78,73.35,LSEG.L,GARCH_pred+XGBoost,Fusion
-47237.41,-7.78,73.35,LSEG.L,GARCH_pred+CatBoost,Fusion
-47237.41,-7.78,73.35,LSEG.L,GARCH_pred+AdaBoost,Fusion
-47237.41,-7.78,73.35,LSEG.L,GARCH_pred+KNN,Fusion
9710.21,4.58,17.71,MNG.L,GARCH_pred,TS
1354.18,0.65,31.44,MNG.L,KNN,ML
1354.18,0.65,31.44,MNG.L,AdaBoost,ML
1354.18,0.65,31.44,MNG.L,CatBoost,ML
1354.18,0.65,31.44,MNG.L,XGBoost,ML
1354.18,0.65,31.44,MNG.L,RandomForest,ML
9710.21,4.58,17.71,MNG.L,GARCH_pred+RandomForest,Fusion
9710.21,4.58,17.71,MNG.L,GARCH_pred+XGBoost,Fusion
9710.21,4.58,17.71,MNG.L,GARCH_pred+CatBoost,Fusion
9710.21,4.58,17.71,MNG.L,GARCH_pred+AdaBoost,Fusion
