Stock,Model,R2,RMSE,MSE,MAE
HSBA.L,GARCH,0.8111,0.0028,8e-06,0.0022
HSBA.L,GJR,0.8071,0.0028,8e-06,0.0022
HSBA.L,EGARCH,-7694078.1156,17.7119,313.713028,0.4735
BARC.L,GARCH,0.7692,0.0048,2.3e-05,0.0033
BARC.L,GJR,0.7405,0.0051,2.6e-05,0.0034
BARC.L,EGARCH,-81.9846,0.0917,0.008415,0.0097
LLOY.L,GARCH,0.6189,0.0057,3.2e-05,0.0037
LLOY.L,GJR,0.6282,0.0056,3.2e-05,0.0037
LLOY.L,EGARCH,-22.8766,0.0451,0.002033,0.0082
STAN.L,GARCH,0.6799,0.0047,2.3e-05,0.0034
STAN.L,GJR,0.6278,0.0051,2.6e-05,0.0035
STAN.L,EGARCH,-1.5832874197348254e+269,3.3399280635166666e+132,1.1155119469466193e+265,8.658360164353288e+130
NWG.L,GARCH,0.5695,0.0056,3.1e-05,0.0036
NWG.L,GJR,0.7104,0.0046,2.1e-05,0.0034
NWG.L,EGARCH,-0.4215,0.0102,0.000103,0.0047
PRU.L,GARCH,0.6881,0.0055,3.1e-05,0.004
PRU.L,GJR,0.522,0.0068,4.7e-05,0.0047
PRU.L,EGARCH,-8.7557,0.0309,0.000955,0.0072
LGEN.L,GARCH,0.7703,0.0057,3.2e-05,0.0033
LGEN.L,GJR,0.784,0.0055,3.1e-05,0.0034
LGEN.L,EGARCH,-1.6570481825531246e+237,4.8393201317217976e+116,2.3419019337287874e+233,1.2545353029829957e+115
AV.L,GARCH,0.6926,0.0047,2.2e-05,0.003
AV.L,GJR,0.7864,0.0039,1.5e-05,0.0027
AV.L,EGARCH,-42.5073,0.0557,0.003097,0.0094
PHNX.L,GARCH,0.6727,0.0046,2.1e-05,0.0027
PHNX.L,GJR,0.6856,0.0045,2.1e-05,0.0028
PHNX.L,EGARCH,0.6677,0.0047,2.2e-05,0.0026
LSEG.L,GARCH,0.4317,0.0053,2.8e-05,0.0037
LSEG.L,GJR,0.2898,0.0059,3.5e-05,0.004
LSEG.L,EGARCH,-1.1951,0.0104,0.000109,0.0046
MNG.L,GARCH,-10.3701,0.0043,1.9e-05,0.0042
MNG.L,GJR,-3.9232,0.0028,8e-06,0.0027
MNG.L,EGARCH,-7.7037,0.0038,1.4e-05,0.0036
HL.L,GARCH,0.2969,0.0072,5.1e-05,0.0048
HL.L,GJR,0.2238,0.0075,5.6e-05,0.005
HL.L,EGARCH,-147.5227,0.1039,0.0108,0.0142
