Profit,Annualized Return,Max Drawdown,Stock,Model,Category
-21223.87,-2.99,63.96,JPM,GARCH_pred,TS
-51244.88,-8.74,58.15,JPM,KNN,ML
-51244.88,-8.74,58.15,JPM,AdaBoost,ML
-51244.88,-8.74,58.15,JPM,CatBoost,ML
-51244.88,-8.74,58.15,JPM,XGBoost,ML
-51244.88,-8.74,58.15,JPM,RandomForest,ML
-21223.87,-2.99,63.96,JPM,GARCH_pred+RandomForest,Fusion
-21223.87,-2.99,63.96,JPM,GARCH_pred+XGBoost,Fusion
-21223.87,-2.99,63.96,JPM,GARCH_pred+CatBoost,Fusion
-21223.87,-2.99,63.96,JPM,GARCH_pred+AdaBoost,Fusion
-21223.87,-2.99,63.96,JPM,GARCH_pred+KNN,Fusion
-41912.74,-6.68,79.18,BAC,GARCH_pred,TS
-50874.89,-8.65,68.27,BAC,KNN,ML
-50874.89,-8.65,68.27,BAC,AdaBoost,ML
-50874.89,-8.65,68.27,BAC,CatBoost,ML
-50874.89,-8.65,68.27,BAC,XGBoost,ML
-50874.89,-8.65,68.27,BAC,RandomForest,ML
-41912.74,-6.68,79.18,BAC,GARCH_pred+RandomForest,Fusion
-41912.74,-6.68,79.18,BAC,GARCH_pred+XGBoost,Fusion
-41912.74,-6.68,79.18,BAC,GARCH_pred+CatBoost,Fusion
-41912.74,-6.68,79.18,BAC,GARCH_pred+AdaBoost,Fusion
-41912.74,-6.68,79.18,BAC,GARCH_pred+KNN,Fusion
-36287.36,-5.58,66.51,WFC,GARCH_pred,TS
-13032.2,-1.76,47.74,WFC,KNN,ML
-13032.2,-1.76,47.74,WFC,AdaBoost,ML
-13032.2,-1.76,47.74,WFC,CatBoost,ML
-13032.2,-1.76,47.74,WFC,XGBoost,ML
-13032.2,-1.76,47.74,WFC,RandomForest,ML
-36287.36,-5.58,66.51,WFC,GARCH_pred+RandomForest,Fusion
-36287.36,-5.58,66.51,WFC,GARCH_pred+XGBoost,Fusion
-36287.36,-5.58,66.51,WFC,GARCH_pred+CatBoost,Fusion
-36287.36,-5.58,66.51,WFC,GARCH_pred+AdaBoost,Fusion
-36287.36,-5.58,66.51,WFC,GARCH_pred+KNN,Fusion
-27369.84,-3.99,70.1,GS,GARCH_pred,TS
-39834.92,-6.26,63.23,GS,KNN,ML
-39834.92,-6.26,63.23,GS,AdaBoost,ML
-39834.92,-6.26,63.23,GS,CatBoost,ML
-39834.92,-6.26,63.23,GS,XGBoost,ML
-39834.92,-6.26,63.23,GS,RandomForest,ML
-27369.84,-3.99,70.1,GS,GARCH_pred+RandomForest,Fusion
-27369.84,-3.99,70.1,GS,GARCH_pred+XGBoost,Fusion
-27369.84,-3.99,70.1,GS,GARCH_pred+CatBoost,Fusion
-27369.84,-3.99,70.1,GS,GARCH_pred+AdaBoost,Fusion
-27369.84,-3.99,70.1,GS,GARCH_pred+KNN,Fusion
-38203.29,-5.94,72.82,MS,GARCH_pred,TS
-70676.26,-14.46,74.23,MS,KNN,ML
-70676.26,-14.46,74.23,MS,AdaBoost,ML
-70676.26,-14.46,74.23,MS,CatBoost,ML
-70676.26,-14.46,74.23,MS,XGBoost,ML
-70676.26,-14.46,74.23,MS,RandomForest,ML
-38203.29,-5.94,72.82,MS,GARCH_pred+RandomForest,Fusion
-38203.29,-5.94,72.82,MS,GARCH_pred+XGBoost,Fusion
-38203.29,-5.94,72.82,MS,GARCH_pred+CatBoost,Fusion
-38203.29,-5.94,72.82,MS,GARCH_pred+AdaBoost,Fusion
-38203.29,-5.94,72.82,MS,GARCH_pred+KNN,Fusion
-31642.24,-4.73,64.88,PNC,GARCH_pred,TS
-32012.18,-4.79,51.0,PNC,KNN,ML
-32012.18,-4.79,51.0,PNC,AdaBoost,ML
-32012.18,-4.79,51.0,PNC,CatBoost,ML
-32012.18,-4.79,51.0,PNC,XGBoost,ML
-32012.18,-4.79,51.0,PNC,RandomForest,ML
-31642.24,-4.73,64.88,PNC,GARCH_pred+RandomForest,Fusion
-31642.24,-4.73,64.88,PNC,GARCH_pred+XGBoost,Fusion
-31642.24,-4.73,64.88,PNC,GARCH_pred+CatBoost,Fusion
-31642.24,-4.73,64.88,PNC,GARCH_pred+AdaBoost,Fusion
-31642.24,-4.73,64.88,PNC,GARCH_pred+KNN,Fusion
-42972.14,-6.9,65.9,BMO,GARCH_pred,TS
-45752.95,-7.49,60.81,BMO,KNN,ML
-45752.95,-7.49,60.81,BMO,AdaBoost,ML
-45752.95,-7.49,60.81,BMO,CatBoost,ML
-45752.95,-7.49,60.81,BMO,XGBoost,ML
-45752.95,-7.49,60.81,BMO,RandomForest,ML
-42972.14,-6.9,65.9,BMO,GARCH_pred+RandomForest,Fusion
-42972.14,-6.9,65.9,BMO,GARCH_pred+XGBoost,Fusion
-42972.14,-6.9,65.9,BMO,GARCH_pred+CatBoost,Fusion
-42972.14,-6.9,65.9,BMO,GARCH_pred+AdaBoost,Fusion
-42972.14,-6.9,65.9,BMO,GARCH_pred+KNN,Fusion
